"Date","Pitcher","PitcherThrows","PitcherTeam","TaggedPitchType","RelSpeed","InducedVertBreak","HorzBreak","SpinAxis","RelHeight","RelSide","Extension","SpinRate","yt_Efficiency","HomeTeamCode"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",85.23870849,18.71810012,3.948538911,195.7370918,6.467430152,1.764995994,6.000000192,2084.313264,79.85157918,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.84619401,18.27852249,4.092110024,194.7630919,5.026540771,0.80444311,6.782454308,2079.763942,78.76767446,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",81.99015307,12.98413222,0.362799979,188.9420233,5.127336897,0.881423713,6.384738035,2140.008973,45.87935861,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.74412893,19.28782436,6.111244241,200.0231709,4.984759582,0.90368902,6.798875776,2199.310329,85.32005277,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",84.61324449,,,,5.25644891,1.511429985,6.000000192,,,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",81.69151451,11.46883801,-2.020708801,177.1625261,6.389725408,1.912150022,6.000000192,2123.160443,39.00767331,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",87.59720584,19.2536274,5.538056954,200.4894868,6.556157981,1.29671563,6.000000192,2120.015261,85.24569729,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Slider",80.76372097,6.809166844,-5.420348082,133.933618,6.21993232,1.879567597,6.000000192,2192.478232,26.54882335,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",82.06235464,,,,5.553734324,2.151188783,6.000000192,,,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.8600506,19.59416333,5.705477616,200.0741599,5.041572514,0.820397103,6.773289008,2206.768086,87.02622165,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",82.64272086,,,,5.132093638,1.114863876,6.000000192,,,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",84.4947848,19.57230948,3.603356299,194.0924037,5.059269758,0.799538172,6.809589567,2061.267825,87.15157665,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.4889775,19.43416365,5.15828737,198.829064,5.015084242,0.932962095,6.432260496,2141.427906,84.52296619,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",80.4108048,,,,5.624679439,2.387701023,6.000000192,,,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Curveball",75.85668999,-7.241142293,-9.686016944,39.94191499,6.033073223,1.863532336,6.000000192,2164.442635,58.09407779,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",84.59990595,19.32839541,6.013593842,200.748756,6.350292185,1.550887202,6.000000192,2111.41678,84.86457619,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.70066128,,,,4.900443034,1.049271575,6.000000192,,,"WWT"
